"filename", "language", "Markdown", "Python", "Scala", "Java Properties", "YAML", "CSS", "JavaScript", "JavaScript JSX", "JSON", "XML", "HTML", "C++", "Haskell", "Go", "Java", "comment", "blank", "total"
"c:\Users\where\Documents\github\code\algorithm\dfs\tarjanForSSC.py", "Python", 0, -57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -11, -10, -78
"c:\Users\where\Documents\github\code\algorithm\dfs\tarjan\tarjanForSSC.py", "Python", 0, 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 11, 82
"c:\Users\where\Documents\github\code\algorithm\dfs\tarjan\tarjanTemplate.py", "Python", 0, 218, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 65, 295
"c:\Users\where\Documents\github\code\algorithm\dfs\分组背包\number-of-ways-to-earn-points.py", "Python", 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 27
"c:\Users\where\Documents\github\code\algorithm\dfs\分组背包\number-of-ways-to-earn-points2.py", "Python", 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9, 27
"c:\Users\where\Documents\github\code\algorithm\dfs\分组背包\number-of-ways-to-earn-points3.py", "Python", 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 8, 31
"c:\Users\where\Documents\github\code\algorithm\dfs\最小移动距离\minimum-total-distance-traveled.py", "Python", 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 22
"c:\Users\where\Documents\github\code\algorithm\dfs\最小移动距离\q6232.py", "Python", 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 32
"c:\Users\where\Documents\github\code\algorithm\dfs\有向简单图求环\简单图.md", "Markdown", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 24
"c:\Users\where\Documents\github\code\algorithm\dp\dp-questions\双人路径\cherry-pick.py", "Python", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -4, 0, 0
"c:\Users\where\Documents\github\code\algorithm\dp\dp-questions\多子数组选择\maximum-sum-of-3-non-overlapping-subarrays.py", "Python", 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 21
"c:\Users\where\Documents\github\code\algorithm\dp\dp-questions\多重背包\coins.py", "Python", 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 2, 24
"c:\Users\where\Documents\github\code\algorithm\dp\dp-questions\状态压缩\minimum-cost-to-connect-two-groups-of-points.py", "Python", 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 24
"c:\Users\where\Documents\github\code\algorithm\dp\dp-questions\状态压缩\minimum-cost-to-connect-two-groups-of-points2.py", "Python", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 21
"c:\Users\where\Documents\github\code\algorithm\dp\dp-questions\状态压缩\q1659.py", "Python", 0, 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 51
