"filename", "language", "Java", "Scala", "Python", "XML", "Markdown", "C++", "JavaScript", "CSS", "HTML", "JSON", "Log", "Go", "C#", "Properties", "Go Module File", "JSON with Comments", "comment", "blank", "total"
"c:\Users\where\Documents\github\code\algorithm\basic\presum\preSum2D.py", "Python", 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 2, 21
"c:\Users\where\Documents\github\code\algorithm\basic\presum\preSumLs.py", "Python", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9
"c:\Users\where\Documents\github\code\algorithm\basic\pylib\enumerate.py", "Python", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 17
"c:\Users\where\Documents\github\code\algorithm\basic\pylib\format.md", "Markdown", 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 20
"c:\Users\where\Documents\github\code\algorithm\basic\regex\regex.md", "Markdown", 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11
"c:\Users\where\Documents\github\code\algorithm\basic\simpleParser\parser.py", "Python", 0, 0, 64, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 10, 106
"c:\Users\where\Documents\github\code\algorithm\basic\stack\infixtosuffix.py", "Python", 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8, 36
"c:\Users\where\Documents\github\code\algorithm\bfs\bfsRecordDepth.py", "Python", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13
"c:\Users\where\Documents\github\code\algorithm\bfs\bfsUsingDeque.py", "Python", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 18
"c:\Users\where\Documents\github\code\algorithm\bitManipulation\Gosoers_Hack.py", "Python", 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 22
"c:\Users\where\Documents\github\code\algorithm\bitManipulation\bit.md", "Markdown", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"c:\Users\where\Documents\github\code\algorithm\bitManipulation\count1ofint.py", "Python", 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2
"c:\Users\where\Documents\github\code\algorithm\bitManipulation\subSetForDp.py", "Python", 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 27
"c:\Users\where\Documents\github\code\algorithm\bitManipulation\subsetOfState.py", "Python", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 6, 26
"c:\Users\where\Documents\github\code\algorithm\bruteforce\bitCompression\qustion.md", "Markdown", 0, 0, 0, 0, 99, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 116
"c:\Users\where\Documents\github\code\algorithm\bruteforce\bruteForceForBitCompress.md", "Markdown", 0, 0, 0, 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 50
"c:\Users\where\Documents\github\code\algorithm\bruteforce\dfs.md", "Markdown", 0, 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 34
"c:\Users\where\Documents\github\code\algorithm\bruteforce\dfsOT.md", "Markdown", 0, 0, 0, 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 66
"c:\Users\where\Documents\github\code\algorithm\bruteforce\index.md", "Markdown", 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 5
"c:\Users\where\Documents\github\code\algorithm\bruteforce\match.py", "Python", 0, 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 6, 68
"c:\Users\where\Documents\github\code\algorithm\bruteforce\solutions.md", "Markdown", 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 7
"c:\Users\where\Documents\github\code\algorithm\codesnippet\rangeDP.md", "Markdown", 0, 0, 0, 0, 114, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 40, 154
"c:\Users\where\Documents\github\code\algorithm\datastructure\TreeArray.md", "Markdown", 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 32
